id;marca;nomeDaPeca;precoComDesconto;precoSemDesconto;Descricao;Tamanho;Condicao;Cores;Disponível;Data;Status
15350;Dinar;Short Cintura Alta Dinar;69;69;Short jeans de cintura alta, com bolsos pequenos na parte das costas. Barra cortada e dobrada, sem costura. O tecido é fino e possui bastante elasticidade. A etiqueta da peça está 42, porém, veste 38.;38;Vintage;;VENDIDO;2018-11-17 03:17:09.663613;VERIFICADO
15351;Taco System;Bermuda Jeans Taco;69;69;Bermuda jeans vintage com barra cortada e desfiada. Apresenta bolsos na frente e nas costas. Não possui elasticidade.;40;Vintage;;VENDIDO;2018-11-17 01:16:21.272270;VERIFICADO
15352;Pro 2000;Short Jeans Pro 2000;69;69;Short jeans de cintura alta, com bolsinhos aparentes na parte da frente. Possui bastante elasticidade. A etiqueta da peça está 42, porém, veste 38.;38;Vintage;;VENDIDO;2018-11-17 03:23:29.164816;VERIFICADO
15353;Taco System;Bermuda Jeans Claro Taco;69;69;Bermuda jeans vintage com barra cortada e desfiada. Apresenta bolsos na frente e nas costas. Não possui elasticidade.;40;Vintage;;VENDIDO;2018-11-17 03:17:46.487254;VERIFICADO
15354;Zoomp;Calça Jeans Vintage Zoomp;149;149;Calça jeans vintage de cintura alta, com bolsos na frente e nas costas. Fica mais soltinha nas pernas, no estilo mom jeans. Não possui elastano. Veste 34/36.;36;Vintage;;VENDIDO;2018-11-17 01:19:46.597385;VERIFICADO
15355;Disney;Camisa That’s Donald;99;99;Camisa jeans de manga longa, com estampa do Pato Donald nas costas. Possui um bolso na parte da frente. A etiqueta da peça é P, mas veste G.;G;Vintage;;VENDIDO;2018-11-17 01:40:24.227072;VERIFICADO
14295;Nuovo Gruppo;Camisa Nuovo Gruppo;45;45;Camisa estampada com bordado na frente.;G;Vintage;;VENDIDO;2018-11-17 03:10:16.782665;VERIFICADO
19743;Target Dry;Jaqueta Vermelha Target Dry;149;149;Jaqueta corta vento vermelha, forrada, com fechamento por zíper. Possui dois bolsos com zíper na parte da frente. Tem capuz. Garimpada em Montevidéu, Uruguai.;XG;Vintage;;VENDIDO;2018-11-17 02:58:08.004311;VERIFICADO
19744;DeCarli;Colete DeCarli;39;39;Colete cinza de lã com padronagem étnica. Fechamento por botões. Não possui bolsos.;P;Vintage;;VENDIDO;2018-11-17 02:26:30.424653;VERIFICADO
19745;Sportex;Camisa Flanela Xadrez Amarelo;49;49;Camisa manga longa em flanela grossa, estampa xadrez fundo amarelo. Possui dois bolsos na parte da frente com fechamento em botão.;M;Vintage;;VENDIDO;2018-11-17 02:56:52.071254;VERIFICADO
19746;Nevica;Jaqueta Colorida Nevica;299;299;Jaqueta vintage ampla, com recortes em diversas cores. É forrada e possui várias camadas de fibra interna, ideal para frio intenso. O tecido é térmico e à prova d’água. Tem dois bolsos externos e dois bolsos internos, todos com zíper. Apresenta também um capuz que pode ser dobrado e escondido dentro da gola. Garimpada em Montevidéu, Uruguai.;46;Vintage;;VENDIDO;2018-11-17 02:14:27.503798;VERIFICADO
19747;Sem Marca;Casaco de Pelo Fake Laranja Fluor;179;179;Casaco de pelo fake na cor laranja fluor. É uma peça vintage cujo tecido está extremamente bem conservado. É forrada, possui dois bolsos na parte da frente e barra feita à mão.;G;Vintage;;VENDIDO;2018-11-17 03:20:39.485962;VERIFICADO
19748;Toplay;Bermuda Jeans Vintage Toplay;99;99;Bermuda jeans vintage de cintura altíssima. Tem pregas na frente, que deixam a peça ampla no quadril e nas pernas. Possui dois bolsos na frente e dois bolsos nas costas.;38;Vintage;;VENDIDO;2018-11-17 02:32:18.180681;VERIFICADO
19749;Creation;Bomber Jacket Creation;199;199;Bomber jacket ampla, verde com recortes em tons de roxo. Possui um bordado na frente com o nome da marca: “Creation”, Fechamento por zíper na parte da frente. Possui dois bolsos. É de nylon, forrada em malha 100% Algodão. O forro apresenta algumas manchinhas bem pequenas, que não comprometem a peça. Jaqueta vintage, garimpada em Montevidéu, Uruguai.;GG;Vintage;;VENDIDO;2018-11-17 03:20:25.573121;VERIFICADO
19750;Inseparales;Saia Inseparables;59;59;Saia midi, estilo godê, estampa floral vintage com elástico na cintura. Tecido apresenta toque aveludado. Peça garimpada em Montevideo, Uruguay. Medidads da peça: de 54 à 75 cm com elástico esticado. Comprimento: 69 cm.;P;Vintage;;VENDIDO;2018-11-17 02:54:20.766075;VERIFICADO
19751;Sem Marca;Cardigan Preto e Violeta;59;59;Cardigan de lã sintética, com padronagem em tons de preto e violeta. Possui botões na parte da frente. Não tem bolsos. Garimpado em Montevidéu, Uruguai.;G;Vintage;;DISPONIVEL;2018-11-17 03:21:46.482673;VERIFICADO
19752;Sem Marca;Calça Sporty Vintage;89;89;Calça vintage estilo sporty, unissex, com elástico e regulagem na cintura por cordão. A barra também tem elástico e zíper, podendo ser usada um pouco mais aberta. Apresenta recorte com estampa galaxy nas laterais. Forrada em malha. Pode ser usada com a cintura alta ou baixa, e também em diversos tipos de corpos por ser uma peça bem ampla. Garimpada em Montevidéu, Uruguai.;G;Vintage;;VENDIDO;2018-11-17 01:32:23.575455;VERIFICADO
19753;Cafuza;Camisa Estampada Cafuza;89;89;Camisa manga curta em viscose estampada com dois bolsos na frente e fechamento por botões.;M;Vintage;;VENDIDO;2018-11-17 02:54:24.395185;VERIFICADO
19754;Totem;Camisa Purple Bubbles Totem;39;39;Camisa manga curta em viscose estampada com um bolsa na frente estilo oversized. Possui dois furinhos pequenos na parte da frente que não comprometem a peça.;G;Vintage;;VENDIDO;2018-11-17 02:14:36.702466;VERIFICADO
19755;Sem Marca;Casaco de Pelo Fake Cinza;179;179;Casaco de pelo fake na cor cinza. É uma peça vintage cujo tecido está extremamente bem conservado. É forrada, possui dois bolsos na parte da frente, mangas bufantes e amplas.;P;Vintage;;DISPONIVEL;2018-11-17 02:42:18.179137;VERIFICADO
19756;Carvil;Camisa Carvil;59;59;Camisa manga longa em viscose estampada com um bolso na frente e fechamento por botões. Apresenta um leve descosturado na pala, parte de trás da camisa.;G;Vintage;;VENDIDO;2018-11-17 02:04:55.680084;VERIFICADO
